Season,Competition Group,Competition,Week Date,Fixture Location,Time of Match,Team_Role,Team,Opponent,Team_Score,Opponent_Score,Result
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-16,Surbiton HC - Pitch 2,Completed,Away,Tulse Hill & Dulwich W1,Surbiton Sparks,2.0,2.0,Draw
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-16,Dukes Meadow pitch,Completed,Home,Barnes W2,West Hampstead W1,1.0,0.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-16,Dukes Meadow pitch,Completed,Away,West Hampstead W1,Barnes W2,0.0,1.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-16,Liverpool Victoria Sports Ground,Completed,Home,PHC Chiswick W1,Southgate W2,3.0,4.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-16,Liverpool Victoria Sports Ground,Completed,Away,Southgate W2,PHC Chiswick W1,4.0,3.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-16,Old Cranleighan Sports Club,Completed,Home,Old Cranleighan W1,London Wayfarers W2,1.0,2.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-16,Old Cranleighan Sports Club,Completed,Away,London Wayfarers W2,Old Cranleighan W1,2.0,1.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-16,Mill Hill School,Completed,Home,Hampstead & Westminster W3,Surbiton W3,3.0,2.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-16,Mill Hill School,Completed,Away,Surbiton W3,Hampstead & Westminster W3,2.0,3.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-23,Whitefields School - Pitch 1,Completed,Home,West Hampstead W1,Old Cranleighan W1,4.0,2.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-23,Whitefields School - Pitch 1,Completed,Away,Old Cranleighan W1,West Hampstead W1,2.0,4.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-23,Kings House Sports Ground,Completed,Home,London Wayfarers W2,Surbiton Sparks,4.0,1.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-23,Kings House Sports Ground,Completed,Away,Surbiton Sparks,London Wayfarers W2,1.0,4.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-23,Alleyns School,Completed,Home,Tulse Hill & Dulwich W1,Hampstead & Westminster W3,2.0,0.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-23,Alleyns School,Completed,Away,Hampstead & Westminster W3,Tulse Hill & Dulwich W1,0.0,2.0,Loss
